               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  30,            0.016665,           0.0063433,          0.00050046,             0.79581,             0.47863,             0.54862,             0.21303,            0.034215,             0.01566,           0.0025919,           0.0064112,           0.0064112,           0.0064112
                  31,            0.016567,           0.0063016,          0.00048425,             0.74875,             0.47918,             0.52222,             0.20387,            0.034627,            0.015655,            0.002984,           0.0062875,           0.0062875,           0.0062875
                  32,             0.01638,           0.0063349,          0.00040962,             0.73765,             0.45793,              0.5122,             0.19679,            0.035108,            0.015945,           0.0026912,           0.0061637,           0.0061637,           0.0061637
                  33,            0.016437,           0.0062648,          0.00043954,             0.69541,             0.47585,             0.51286,              0.1959,            0.035263,            0.016061,           0.0030769,             0.00604,             0.00604,             0.00604
                  34,            0.016172,           0.0062302,          0.00043899,             0.71142,             0.47933,              0.5263,             0.19434,            0.035333,            0.015917,           0.0030533,           0.0059163,           0.0059163,           0.0059163
                  35,            0.016017,           0.0062048,          0.00042124,             0.74229,             0.47054,             0.52732,             0.19664,            0.035187,            0.016031,           0.0030067,           0.0057925,           0.0057925,           0.0057925
                  36,            0.015935,           0.0061995,          0.00045902,             0.73694,             0.48365,             0.53432,             0.19847,            0.034796,            0.016053,           0.0027463,           0.0056688,           0.0056688,           0.0056688
                  37,            0.015884,            0.006178,          0.00040329,             0.75351,             0.49366,             0.54933,             0.20402,            0.034623,            0.015413,           0.0025475,            0.005545,            0.005545,            0.005545
                  38,            0.015646,           0.0061537,          0.00047283,             0.75403,               0.487,             0.54433,             0.20368,            0.034821,            0.016064,           0.0030652,           0.0054212,           0.0054212,           0.0054212
                  39,            0.015613,           0.0061538,          0.00038944,             0.73148,             0.49187,             0.54323,             0.20267,            0.034952,            0.016422,           0.0032873,           0.0052975,           0.0052975,           0.0052975
                  40,            0.015088,           0.0060301,           0.0003654,             0.73572,             0.50113,             0.54638,             0.20399,            0.034969,            0.016238,           0.0033493,           0.0051737,           0.0051737,           0.0051737
                  41,            0.015134,           0.0059901,          0.00039423,             0.75096,             0.49739,             0.54735,             0.20408,            0.035086,            0.016129,            0.003511,             0.00505,             0.00505,             0.00505
                  42,            0.014932,           0.0059089,          0.00037666,              0.7522,             0.49531,             0.54667,             0.20388,            0.035029,            0.016009,           0.0036784,           0.0049263,           0.0049263,           0.0049263
                  43,             0.01479,           0.0059016,          0.00035634,             0.74734,             0.49284,             0.54381,             0.20334,            0.035118,            0.016078,           0.0038016,           0.0048025,           0.0048025,           0.0048025
                  44,            0.015208,           0.0061248,          0.00035132,             0.73595,             0.49183,             0.53906,             0.20215,            0.035294,            0.015927,           0.0040735,           0.0046788,           0.0046788,           0.0046788
                  45,            0.014898,           0.0058938,          0.00035629,             0.77606,              0.4823,             0.54044,             0.20301,            0.035403,            0.015923,           0.0042896,            0.004555,            0.004555,            0.004555
                  46,            0.014665,           0.0058745,          0.00034803,              0.7834,             0.48142,             0.54143,             0.20263,            0.035494,            0.015919,           0.0042791,           0.0044313,           0.0044313,           0.0044313
                  47,            0.014477,           0.0057782,          0.00032614,             0.77687,             0.48286,             0.54205,             0.20302,            0.035546,            0.015962,            0.004267,           0.0043075,           0.0043075,           0.0043075
                  48,            0.014266,            0.005759,          0.00032424,             0.77965,             0.48302,             0.54266,             0.20247,             0.03562,            0.015955,           0.0042214,           0.0041837,           0.0041837,           0.0041837
                  49,            0.014202,           0.0057366,           0.0003254,             0.77184,             0.48784,             0.54619,             0.20272,            0.035586,            0.015987,           0.0041899,             0.00406,             0.00406,             0.00406
                  50,            0.014002,           0.0056233,          0.00031509,             0.75588,             0.49167,             0.54656,             0.20324,            0.035625,            0.016078,           0.0041213,           0.0039362,           0.0039362,           0.0039362
                  51,            0.013858,           0.0056038,          0.00032192,             0.72413,             0.50332,             0.54659,             0.20358,            0.035628,              0.0161,           0.0040239,           0.0038125,           0.0038125,           0.0038125
                  52,            0.013707,           0.0056041,          0.00031117,             0.72649,             0.50186,             0.54684,             0.20386,            0.035676,            0.016146,           0.0039876,           0.0036888,           0.0036888,           0.0036888
                  53,            0.013849,           0.0056451,          0.00030448,             0.73463,             0.49774,             0.54695,             0.20381,            0.035671,            0.016163,           0.0039872,            0.003565,            0.003565,            0.003565
                  54,            0.013485,           0.0055943,          0.00028309,             0.74336,             0.49362,             0.54731,             0.20399,            0.035697,            0.016176,            0.003923,           0.0034413,           0.0034413,           0.0034413
                  55,            0.013522,           0.0055107,          0.00029942,             0.73302,             0.49642,             0.54716,             0.20399,            0.035761,             0.01621,           0.0039692,           0.0033175,           0.0033175,           0.0033175
                  56,            0.013353,           0.0055823,          0.00027643,             0.74012,             0.49379,             0.54769,             0.20456,            0.035788,            0.016238,           0.0039936,           0.0031938,           0.0031938,           0.0031938
                  57,            0.013427,           0.0056032,          0.00041437,             0.72648,             0.50004,             0.54864,             0.20545,            0.035679,            0.016178,           0.0038468,             0.00307,             0.00307,             0.00307
                  58,            0.013277,           0.0054667,          0.00025638,             0.72581,             0.50041,              0.5488,             0.20622,            0.035651,            0.016198,           0.0037823,           0.0029462,           0.0029462,           0.0029462
                  59,            0.012886,           0.0054201,          0.00023634,             0.71857,              0.5027,             0.54876,             0.20621,            0.035666,            0.016241,           0.0037452,           0.0028225,           0.0028225,           0.0028225
                  60,            0.012733,           0.0053312,          0.00026675,             0.73145,             0.49499,             0.54855,             0.20648,            0.035661,             0.01628,           0.0036769,           0.0026987,           0.0026987,           0.0026987
                  61,            0.012781,           0.0053441,          0.00023787,             0.72221,              0.4974,             0.54861,             0.20632,            0.035702,            0.016343,           0.0036432,            0.002575,            0.002575,            0.002575
                  62,            0.012717,           0.0053414,          0.00025332,             0.72479,             0.49391,             0.54786,              0.2064,            0.035728,            0.016398,           0.0036435,           0.0024513,           0.0024513,           0.0024513
                  63,            0.012442,           0.0052414,          0.00021186,             0.71676,             0.49526,             0.54706,             0.20574,            0.035763,            0.016447,           0.0036394,           0.0023275,           0.0023275,           0.0023275
                  64,            0.012317,           0.0052344,           0.0002315,             0.72233,             0.49241,             0.54719,             0.20543,            0.035808,            0.016514,           0.0036551,           0.0022038,           0.0022038,           0.0022038
                  65,            0.012395,           0.0052524,          0.00023178,              0.7392,             0.48417,             0.54813,             0.20538,            0.035839,            0.016592,           0.0036429,             0.00208,             0.00208,             0.00208
                  66,            0.012345,           0.0052061,          0.00022901,             0.72477,             0.48902,             0.54815,              0.2051,            0.035867,            0.016651,           0.0036259,           0.0019563,           0.0019563,           0.0019563
                  67,            0.011917,           0.0051277,          0.00021652,              0.7204,             0.49005,             0.54679,             0.20432,             0.03589,            0.016701,           0.0036212,           0.0018325,           0.0018325,           0.0018325
                  68,               0.012,           0.0051305,          0.00019408,             0.71618,             0.49207,             0.54865,             0.20423,            0.035918,            0.016785,           0.0036341,           0.0017087,           0.0017087,           0.0017087
                  69,            0.011689,           0.0051139,          0.00019569,             0.71935,             0.48874,             0.54856,             0.20384,            0.035965,            0.016852,           0.0036518,            0.001585,            0.001585,            0.001585
                  70,            0.011474,           0.0050367,          0.00018378,             0.71492,               0.489,             0.54741,             0.20352,            0.036016,            0.016913,            0.003666,           0.0014612,           0.0014612,           0.0014612
                  71,            0.011293,           0.0049876,          0.00018538,             0.74267,             0.47545,             0.54713,             0.20314,            0.036047,            0.016959,           0.0036656,           0.0013375,           0.0013375,           0.0013375
                  72,            0.011192,           0.0049645,          0.00016203,             0.74293,             0.47501,             0.54734,             0.20299,            0.036084,            0.017027,           0.0037055,           0.0012138,           0.0012138,           0.0012138
