               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017876,           0.0067367,          0.00093542,             0.66747,             0.42608,             0.41268,             0.20824,            0.026675,           0.0086231,            0.016628,            0.006535,            0.006535,            0.006535
                  37,            0.017869,           0.0066584,          0.00099012,              0.7032,             0.41761,             0.42582,             0.21503,            0.026628,            0.008443,             0.01615,            0.006436,            0.006436,            0.006436
                  38,            0.017898,           0.0067145,           0.0010194,             0.70032,             0.41451,             0.42369,             0.21385,             0.02641,           0.0085681,            0.016588,            0.006337,            0.006337,            0.006337
                  39,            0.017558,           0.0065671,           0.0010842,               0.706,              0.4049,             0.43014,             0.21646,            0.026617,            0.008733,            0.015839,            0.006238,            0.006238,            0.006238
                  40,            0.017195,           0.0064742,          0.00075101,             0.68349,             0.40752,             0.42236,              0.2119,             0.02675,           0.0088828,            0.016001,            0.006139,            0.006139,            0.006139
                  41,            0.017217,           0.0064441,          0.00082486,             0.68482,             0.40207,             0.41956,              0.2139,            0.026677,           0.0090532,             0.01624,             0.00604,             0.00604,             0.00604
                  42,            0.017102,           0.0064751,          0.00082419,             0.69278,             0.40019,             0.42374,             0.21821,            0.026497,           0.0089952,            0.016222,            0.005941,            0.005941,            0.005941
                  43,            0.016837,           0.0063418,          0.00078605,             0.72056,             0.39512,              0.4266,             0.22032,            0.026418,           0.0088509,             0.01618,            0.005842,            0.005842,            0.005842
                  44,            0.016659,           0.0063411,          0.00086625,             0.70936,             0.40028,             0.42553,             0.22059,            0.026404,           0.0088729,            0.016379,            0.005743,            0.005743,            0.005743
                  45,            0.016842,           0.0063523,          0.00073197,              0.7222,             0.39046,             0.43137,             0.22504,            0.026247,           0.0088207,            0.016257,            0.005644,            0.005644,            0.005644
                  46,            0.016527,            0.006303,          0.00084324,             0.71863,             0.38776,             0.43377,             0.22416,            0.026316,           0.0088927,            0.016201,            0.005545,            0.005545,            0.005545
                  47,            0.016604,           0.0063626,          0.00071496,             0.68951,             0.39721,             0.43839,             0.22152,             0.02633,           0.0089452,            0.015968,            0.005446,            0.005446,            0.005446
                  48,             0.01658,           0.0063494,          0.00088769,             0.71082,             0.38158,             0.43744,             0.21861,            0.026428,           0.0089377,            0.016042,            0.005347,            0.005347,            0.005347
                  49,            0.016097,           0.0062013,          0.00071707,              0.6618,             0.41277,             0.43577,             0.21615,            0.026472,           0.0089595,            0.016218,            0.005248,            0.005248,            0.005248
                  50,            0.016115,           0.0062559,           0.0007908,             0.64648,             0.42444,             0.43375,             0.21516,            0.026515,           0.0090129,            0.016143,            0.005149,            0.005149,            0.005149
                  51,            0.016021,           0.0061592,          0.00067901,             0.64845,              0.4246,             0.43218,             0.21489,            0.026561,           0.0090561,            0.016113,             0.00505,             0.00505,             0.00505
                  52,            0.015848,           0.0061119,          0.00073861,             0.64099,             0.42625,             0.43095,             0.21443,            0.026581,              0.0091,            0.016115,            0.004951,            0.004951,            0.004951
                  53,            0.015813,           0.0061075,          0.00073151,             0.65008,             0.42044,             0.43047,             0.21476,            0.026569,           0.0091111,            0.016128,            0.004852,            0.004852,            0.004852
                  54,            0.015963,           0.0061793,            0.000776,             0.65982,             0.41373,             0.42881,             0.21398,            0.026602,            0.009153,            0.016186,            0.004753,            0.004753,            0.004753
